event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2020-09-24 12:04:10 UTC,purchase,1507291,2144415926806642904,computers.components.power_supply,supermicro,217.57,1515915625519390468,xn6SHCnZtk
2020-09-24 12:15:06 UTC,purchase,822426,2144415922360680550,computers.peripherals.camera,logitech,123.35,1515915625513574486,2gngxS29Ts
2020-09-24 12:19:01 UTC,purchase,4060928,2144415927049912542,electronics.video.tv,,89.22,1515915625518130982,3yFCkx2KKW
2020-09-24 12:25:18 UTC,purchase,4060928,2144415927049912542,electronics.video.tv,,89.22,1515915625518130982,3yFCkx2KKW
2020-09-24 12:29:49 UTC,purchase,1283197,2144415973413749245,computers.peripherals.nas,zyxel,123.79,1515915625519356010,3jFpdbozOd
2020-09-24 12:29:49 UTC,purchase,888783,2144415922167742561,computers.components.hdd,,83.02,1515915625519356010,3jFpdbozOd
2020-09-24 12:39:40 UTC,purchase,1674454,2144415922528452715,electronics.telephone,,11.86,1515915625519401159,v1oSQvC6hH
2020-09-24 12:43:21 UTC,purchase,822426,2144415922360680550,computers.peripherals.camera,logitech,123.35,1515915625513574486,2gngxS29Ts
2020-09-24 12:48:11 UTC,purchase,822426,2144415922360680550,computers.peripherals.camera,logitech,123.35,1515915625513574581,qkZG0pW1kp
2020-09-24 12:48:27 UTC,purchase,822426,2144415922360680550,computers.peripherals.camera,logitech,123.35,1515915625513574486,2gngxS29Ts
